,aba,contrario_principal_nome_razao_social,numero_de_cnj,natureza,objetos_nome,cliente_principal_posicao,valor_da_causa,pedidos_nome,pedidos_contingencia,fase,faixa_de_probabilidade_de_perda_p_a_unimed,custas,garantias_depositos_deposito_integral,garantias_depositos_valor,valor_estimado_de_perda_provisao_p_contingencias,andamentos_data,materia,processo_administrativo,andamentos_descricao,risco,acao,status
0,Passivo Tributario,Agência Nacional de Saúde Suplementar,0000737-38.2019.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,1730619.99,Obrigação de Fazer,Passiva,Sem sentença,Provável,,Depósito Judicial,2470806.15,1730619.99,2024-02-14 00:00:00,Multa,N. ANS 33903.024721/2012-32,"N. ANS 33903.024721/2012-32 - O processo se refere à execução de dívida ativa não tributária, decorrente de multa pecuniária. Processo Correlato: Ação Anulatória n. 1002259-83.2019.4.01.3600, com sentença desfavorável. Probnóstico de perda financeira. Processo contingenciável e com perda provável. Deposito Judicial Sim (CEF - Ag. 2317; OP: 635; Conta: 00337193-0; Emissao: 26/03/2019)",Médio,Execução fiscal,Ativo
1,Passivo Tributario,Agência Nacional de Saúde Suplementar,0002071-10.2019.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,105035.67,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Depósito Judicial,149959.42,,2023-07-19 00:00:00,Multa,N. ANS 33910.025199/2017-21,"N. ANS 33910.025199/2017-21. Processo suspenso, a pedido da fazenda,  aguardando o julgamento dos Embargos à Execucao n. 5589-08.2019.4.01.3600. Referidos embargos receberam sentença desfavorável, pendendo a apelação de julgamento pelo TRF1",Médio,Execução fiscal,Suspenso
2,Passivo Tributario,Agência Nacional de Saúde Suplementar,0002072-92.2019.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,105562.83,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Depósito Judicial,150712.05,105562.83,2023-07-20 00:00:00,Multa,N. ANS 33910.025187/2017-05,"N. ANS 33910.025187/2017-05. JUNTADA DE PETIÇÃO INTERCORRENTE / Juntada de Tutela Incidental pela Unimed, para obter a suspensão da execução. A execução está sendo desafiada pelos Embargos à Execução n. 0005585-68.2019.4.01.3600, cuja sentença foi desfavorável, e aguarda julgamento da apelação no TRF1.",Médio,Execução fiscal,Ativo
3,Passivo Tributario,Agência Nacional de Saúde Suplementar,0002077-17.2019.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,39006,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Depósito Judicial,55688.86,39006,2024-02-26 00:00:00,Multa,N. ANS 33902.550682/2016-68.,"N. ANS 33902.550682/2016-68. JUNTADA DE PETIÇÃO INTERCORRENTE / Juntada de Impugnação da ANS  em resposta a Petição de Pre Executividad, anuindo com a suspensão da Execução mas pugnando pelo indeferimento do pedido de condenação em honorários advocatícios.  Exceção de Pre-Executividade pela Unimed, requerendo a suspensão da execução. Embargos Opostos - Processo n. 0005588-23.2019.4.01.3600, com sentença desfavorável.",Médio,Execução fiscal,Ativo
4,Passivo Tributario,Agência Nacional de Saúde Suplementar,0002095-38.2019.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,110641.77,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Depósito Judicial,157963.25,110641.77,2023-07-19 00:00:00,Multa por Infracao Adminisrativa,N. ANS 25782.013637/2014-41,JUNTADA DE PETIÇÃO INTERCORRENTE / Juntada de Tutela Incidental pela Unimed,Médio,Execução fiscal,Ativo
5,Passivo Tributario,Agência Nacional de Saúde Suplementar,0002097-08.2019.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,125729.28,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Depósito Judicial,179503.69,,2025-06-30 00:00:00,Multa por Infracao Adminisrativa,N. ANS  33903.012911/2014-79,DECISÃO  / O Juízo colheu parcialmente a exceção de pré-executividade e concedendo parcialmente a tutela  para suspendender exigibilidade do crédito,Médio,Execução fiscal,Suspenso
6,Passivo Tributario,Agência Nacional de Saúde Suplementar,0005454-98.2016.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,116021.76,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Parcelamento,,,2023-06-22 00:00:00,Multa,N. ANS 33903.003677/2009-21,"Processo suspenso, por adesão ao PRD.",Médio,Execução fiscal,Suspenso
7,Passivo Tributario,Agência Nacional de Saúde Suplementar,0005708-71.2016.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,131658.24,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Parcelamento,,Parcelamento (não provisionar),2025-01-27 00:00:00,Multa,N.ANS 33903.006705/2009-62,Juntada de manifestação da ANS em resposta à intimação do Juízo sobre a precrisção intercorrente,Médio,Execução fiscal,Suspenso
8,Passivo Tributario,Agência Nacional de Saúde Suplementar,0007814-06.2016.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,124485.12,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Parcelamento,,Parcelamento (não provisionar),2023-06-16 00:00:00,Multa,n. ANS  33903.011099/2009-05,SOLICITAÇÃO DE HABILITAÇÃO DE ADVOGADOS CONFORME ID 1562871887,Médio,Execução fiscal,Suspenso
9,Passivo Tributario,Agência Nacional de Saúde Suplementar,0009080-91.2017.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,437221.07,Obrigação de Fazer,Passiva,Sentenciado,Possível,,Bloqueio Judicial,446210.52,437221.07,2025-06-02 00:00:00,Multa,"N. ANS 33903.003131/2010-12, 33903.016554/2012-56, 33903.0043052009-12 e 33903.001932/2010-08",Sentença,Baixo,Execução fiscal,Ativo
10,Passivo Tributario,Agência Nacional de Saúde Suplementar,1012146-52.2023.4.01.3600,Nao Tributária,Ação de Execução Fiscal,Executado,668781.64,Obrigação de Fazer,Passiva,Sem sentença,Possível,,Bloqueio Judicial,698208.03,668781.64,2024-12-24 00:00:00,Multa,N. ANS 33910.003687/2018-69,Decisão determinando a suspensão da Execução em razão parcelamento administrativo do débiro,Baixo,Execução fiscal,Suspenso
